Country,Year,Series,Value
Kosovo,2015,GDP in constant 2015 prices (millions of US dollars),6293.00
Kosovo,2020,GDP in constant 2015 prices (millions of US dollars),7142.00
Kosovo,2021,GDP in constant 2015 prices (millions of US dollars),7909.00
Kosovo,2022,GDP in constant 2015 prices (millions of US dollars),8322.00
Kosovo,1995,GDP real rates of growth (percent),8.10
Kosovo,2005,GDP real rates of growth (percent),1.50
Kosovo,2010,GDP real rates of growth (percent),4.90
Kosovo,2015,GDP real rates of growth (percent),5.90
Kosovo,2020,GDP real rates of growth (percent),-5.30
Kosovo,2021,GDP real rates of growth (percent),10.70
Kosovo,2022,GDP real rates of growth (percent),5.20
Kuwait,1995,GDP in current prices (millions of US dollars),26554.00
Kuwait,2005,GDP in current prices (millions of US dollars),80798.00
Kuwait,2010,GDP in current prices (millions of US dollars),115416.00
Kuwait,2015,GDP in current prices (millions of US dollars),114585.00
Kuwait,2020,GDP in current prices (millions of US dollars),105949.00
Kuwait,2021,GDP in current prices (millions of US dollars),137383.00
Kuwait,2022,GDP in current prices (millions of US dollars),175363.00
Kuwait,1995,GDP per capita (US dollars),16043.00
Kuwait,2005,GDP per capita (US dollars),36145.00
Kuwait,2010,GDP per capita (US dollars),39212.00
Kuwait,2015,GDP per capita (US dollars),29315.00
Kuwait,2020,GDP per capita (US dollars),24298.00
Kuwait,2021,GDP per capita (US dollars),32325.00
Kuwait,2022,GDP per capita (US dollars),41079.00
Kuwait,1995,GDP in constant 2015 prices (millions of US dollars),54453.00
Kuwait,2005,GDP in constant 2015 prices (millions of US dollars),90480.00
Kuwait,2010,GDP in constant 2015 prices (millions of US dollars),95861.00
Kuwait,2015,GDP in constant 2015 prices (millions of US dollars),114585.00
Kuwait,2020,GDP in constant 2015 prices (millions of US dollars),104343.00
Kuwait,2021,GDP in constant 2015 prices (millions of US dollars),105539.00
Kuwait,2022,GDP in constant 2015 prices (millions of US dollars),114893.00
Kuwait,1995,GDP real rates of growth (percent),1.40
Kuwait,2005,GDP real rates of growth (percent),10.60
Kuwait,2010,GDP real rates of growth (percent),-2.40
Kuwait,2015,GDP real rates of growth (percent),0.60
Kuwait,2020,GDP real rates of growth (percent),-8.90
Kuwait,2021,GDP real rates of growth (percent),1.10
Kuwait,2022,GDP real rates of growth (percent),8.90
Kyrgyzstan,1995,GDP in current prices (millions of US dollars),1492.00
Kyrgyzstan,2005,GDP in current prices (millions of US dollars),2460.00
Kyrgyzstan,2010,GDP in current prices (millions of US dollars),4794.00
Kyrgyzstan,2015,GDP in current prices (millions of US dollars),6678.00
Kyrgyzstan,2020,GDP in current prices (millions of US dollars),7781.00
Kyrgyzstan,2021,GDP in current prices (millions of US dollars),8741.00
Kyrgyzstan,2022,GDP in current prices (millions of US dollars),10931.00
Kyrgyzstan,1995,GDP per capita (US dollars),325.00
Kyrgyzstan,2005,GDP per capita (US dollars),474.00
Kyrgyzstan,2010,GDP per capita (US dollars),874.00
Kyrgyzstan,2015,GDP per capita (US dollars),1129.00
Kyrgyzstan,2020,GDP per capita (US dollars),1211.00
Kyrgyzstan,2021,GDP per capita (US dollars),1339.00
Kyrgyzstan,2022,GDP per capita (US dollars),1649.00
Kyrgyzstan,1995,GDP in constant 2015 prices (millions of US dollars),2678.00
Kyrgyzstan,2005,GDP in constant 2015 prices (millions of US dollars),4237.00
Kyrgyzstan,2010,GDP in constant 2015 prices (millions of US dollars),5263.00
Kyrgyzstan,2015,GDP in constant 2015 prices (millions of US dollars),6678.00
Kyrgyzstan,2020,GDP in constant 2015 prices (millions of US dollars),7255.00
Kyrgyzstan,2021,GDP in constant 2015 prices (millions of US dollars),7703.00
Kyrgyzstan,2022,GDP in constant 2015 prices (millions of US dollars),8244.00
Kyrgyzstan,1995,GDP real rates of growth (percent),-5.40
Kyrgyzstan,2005,GDP real rates of growth (percent),-0.20
Kyrgyzstan,2010,GDP real rates of growth (percent),-0.50
Kyrgyzstan,2015,GDP real rates of growth (percent),3.90
Kyrgyzstan,2020,GDP real rates of growth (percent),-8.40
Kyrgyzstan,2021,GDP real rates of growth (percent),6.20
Kyrgyzstan,2022,GDP real rates of growth (percent),7.00
Lao People's Dem. Rep.,1995,GDP in current prices (millions of US dollars),1852.00
Lao People's Dem. Rep.,2005,GDP in current prices (millions of US dollars),2946.00
Lao People's Dem. Rep.,2010,GDP in current prices (millions of US dollars),7313.00
Lao People's Dem. Rep.,2015,GDP in current prices (millions of US dollars),14390.00
Lao People's Dem. Rep.,2020,GDP in current prices (millions of US dollars),19116.00
Lao People's Dem. Rep.,2021,GDP in current prices (millions of US dollars),19074.00
Lao People's Dem. Rep.,2022,GDP in current prices (millions of US dollars),15363.00
Lao People's Dem. Rep.,1995,GDP per capita (US dollars),376.00
Lao People's Dem. Rep.,2005,GDP per capita (US dollars),503.00
Lao People's Dem. Rep.,2010,GDP per capita (US dollars),1157.00
Lao People's Dem. Rep.,2015,GDP per capita (US dollars),2120.00
Lao People's Dem. Rep.,2020,GDP per capita (US dollars),2612.00
Lao People's Dem. Rep.,2021,GDP per capita (US dollars),2569.00
Lao People's Dem. Rep.,2022,GDP per capita (US dollars),2040.00
Lao People's Dem. Rep.,1995,GDP in constant 2015 prices (millions of US dollars),3644.00
Lao People's Dem. Rep.,2005,GDP in constant 2015 prices (millions of US dollars),6743.00
Lao People's Dem. Rep.,2010,GDP in constant 2015 prices (millions of US dollars),9899.00
Lao People's Dem. Rep.,2015,GDP in constant 2015 prices (millions of US dollars),14390.00
Lao People's Dem. Rep.,2020,GDP in constant 2015 prices (millions of US dollars),19050.00
Lao People's Dem. Rep.,2021,GDP in constant 2015 prices (millions of US dollars),19713.00
Lao People's Dem. Rep.,2022,GDP in constant 2015 prices (millions of US dollars),20585.00
Lao People's Dem. Rep.,1995,GDP real rates of growth (percent),7.50
Lao People's Dem. Rep.,2005,GDP real rates of growth (percent),6.80
Lao People's Dem. Rep.,2010,GDP real rates of growth (percent),8.10
Lao People's Dem. Rep.,2015,GDP real rates of growth (percent),7.30
Lao People's Dem. Rep.,2020,GDP real rates of growth (percent),3.30
Lao People's Dem. Rep.,2021,GDP real rates of growth (percent),3.50
Lao People's Dem. Rep.,2022,GDP real rates of growth (percent),4.40
Latvia,1995,GDP in current prices (millions of US dollars),5408.00
Latvia,2005,GDP in current prices (millions of US dollars),17003.00
Latvia,2010,GDP in current prices (millions of US dollars),23964.00
Latvia,2015,GDP in current prices (millions of US dollars),27252.00
Latvia,2020,GDP in current prices (millions of US dollars),34391.00
Latvia,2021,GDP in current prices (millions of US dollars),39443.00
Latvia,2022,GDP in current prices (millions of US dollars),40876.00
Latvia,1995,GDP per capita (US dollars),2104.00
Latvia,2005,GDP per capita (US dollars),7614.00
Latvia,2010,GDP per capita (US dollars),11403.00
Latvia,2015,GDP per capita (US dollars),13681.00
Latvia,2020,GDP per capita (US dollars),18129.00
Latvia,2021,GDP per capita (US dollars),21048.00
Latvia,2022,GDP per capita (US dollars),22088.00
Latvia,1995,GDP in constant 2015 prices (millions of US dollars),12345.00
Latvia,2005,GDP in constant 2015 prices (millions of US dollars),23557.00
Latvia,2010,GDP in constant 2015 prices (millions of US dollars),22985.00
Latvia,2015,GDP in constant 2015 prices (millions of US dollars),27252.00
Latvia,2020,GDP in constant 2015 prices (millions of US dollars),29089.00
Latvia,2021,GDP in constant 2015 prices (millions of US dollars),31047.00
Latvia,2022,GDP in constant 2015 prices (millions of US dollars),32089.00
Latvia,1995,GDP real rates of growth (percent),0.20
Latvia,2005,GDP real rates of growth (percent),10.70
Latvia,2010,GDP real rates of growth (percent),-4.50
Latvia,2015,GDP real rates of growth (percent),3.90
Latvia,2020,GDP real rates of growth (percent),-3.50
Latvia,2021,GDP real rates of growth (percent),6.70
Latvia,2022,GDP real rates of growth (percent),3.40
Lebanon,1995,GDP in current prices (millions of US dollars),11506.00
Lebanon,2005,GDP in current prices (millions of US dollars),21497.00
Lebanon,2010,GDP in current prices (millions of US dollars),38444.00
Lebanon,2015,GDP in current prices (millions of US dollars),49929.00
Lebanon,2020,GDP in current prices (millions of US dollars),39009.00
Lebanon,2021,GDP in current prices (millions of US dollars),36718.00
Lebanon,2022,GDP in current prices (millions of US dollars),39303.00
Lebanon,1995,GDP per capita (US dollars),2906.00
Lebanon,2005,GDP per capita (US dollars),4630.00
Lebanon,2010,GDP per capita (US dollars),7695.00
Lebanon,2015,GDP per capita (US dollars),7803.00
Lebanon,2020,GDP per capita (US dollars),6888.00
Lebanon,2021,GDP per capita (US dollars),6565.00
Lebanon,2022,GDP per capita (US dollars),7159.00
Lebanon,1995,GDP in constant 2015 prices (millions of US dollars),24111.00
Lebanon,2005,GDP in constant 2015 prices (millions of US dollars),31330.00
Lebanon,2010,GDP in constant 2015 prices (millions of US dollars),45147.00
Lebanon,2015,GDP in constant 2015 prices (millions of US dollars),49929.00
Lebanon,2020,GDP in constant 2015 prices (millions of US dollars),34622.00
Lebanon,2021,GDP in constant 2015 prices (millions of US dollars),31160.00
Lebanon,2022,GDP in constant 2015 prices (millions of US dollars),31160.00
Lebanon,1995,GDP real rates of growth (percent),6.50
Lebanon,2005,GDP real rates of growth (percent),2.70
Lebanon,2010,GDP real rates of growth (percent),8.00
Lebanon,2015,GDP real rates of growth (percent),0.50
Lebanon,2020,GDP real rates of growth (percent),-25.90
Lebanon,2021,GDP real rates of growth (percent),-10.00
Lebanon,2022,GDP real rates of growth (percent),0.00
Lesotho,1995,GDP in current prices (millions of US dollars),893.00
Lesotho,2005,GDP in current prices (millions of US dollars),1459.00
Lesotho,2010,GDP in current prices (millions of US dollars),2234.00
Lesotho,2015,GDP in current prices (millions of US dollars),2360.00
Lesotho,2020,GDP in current prices (millions of US dollars),2052.00
Lesotho,2021,GDP in current prices (millions of US dollars),2407.00
Lesotho,2022,GDP in current prices (millions of US dollars),2287.00
Lesotho,1995,GDP per capita (US dollars),462.00
Lesotho,2005,GDP per capita (US dollars),738.00
Lesotho,2010,GDP per capita (US dollars),1105.00
Lesotho,2015,GDP per capita (US dollars),1114.00
Lesotho,2020,GDP per capita (US dollars),910.00
Lesotho,2021,GDP per capita (US dollars),1055.00
Lesotho,2022,GDP per capita (US dollars),992.00
Lesotho,1995,GDP in constant 2015 prices (millions of US dollars),1079.00
Lesotho,2005,GDP in constant 2015 prices (millions of US dollars),1522.00
Lesotho,2010,GDP in constant 2015 prices (millions of US dollars),1987.00
Lesotho,2015,GDP in constant 2015 prices (millions of US dollars),2360.00
Lesotho,2020,GDP in constant 2015 prices (millions of US dollars),2128.00
Lesotho,2021,GDP in constant 2015 prices (millions of US dollars),2168.00
Lesotho,2022,GDP in constant 2015 prices (millions of US dollars),2192.00
Lesotho,1995,GDP real rates of growth (percent),4.60
Lesotho,2005,GDP real rates of growth (percent),2.70
Lesotho,2010,GDP real rates of growth (percent),5.30
Lesotho,2015,GDP real rates of growth (percent),3.10
Lesotho,2020,GDP real rates of growth (percent),-7.50
Lesotho,2021,GDP real rates of growth (percent),1.90
Lesotho,2022,GDP real rates of growth (percent),1.10
Liberia,1995,GDP in current prices (millions of US dollars),209.00
Liberia,2005,GDP in current prices (millions of US dollars),706.00
Liberia,2010,GDP in current prices (millions of US dollars),1292.00
Liberia,2015,GDP in current prices (millions of US dollars),2669.00
Liberia,2020,GDP in current prices (millions of US dollars),2481.00
Liberia,2021,GDP in current prices (millions of US dollars),2864.00
Liberia,2022,GDP in current prices (millions of US dollars),3265.00
Liberia,1995,GDP per capita (US dollars),97.00
Liberia,2005,GDP per capita (US dollars),216.00
Liberia,2010,GDP per capita (US dollars),321.00
Liberia,2015,GDP per capita (US dollars),579.00
Liberia,2020,GDP per capita (US dollars),488.00
Liberia,2021,GDP per capita (US dollars),551.00
Liberia,2022,GDP per capita (US dollars),616.00
Liberia,1995,GDP in constant 2015 prices (millions of US dollars),248.00
Liberia,2005,GDP in constant 2015 prices (millions of US dollars),944.00
Liberia,2010,GDP in constant 2015 prices (millions of US dollars),1843.00
Liberia,2015,GDP in constant 2015 prices (millions of US dollars),2669.00
Liberia,2020,GDP in constant 2015 prices (millions of US dollars),2615.00
Liberia,2021,GDP in constant 2015 prices (millions of US dollars),2746.00
Liberia,2022,GDP in constant 2015 prices (millions of US dollars),2878.00
Liberia,1995,GDP real rates of growth (percent),-4.30
Liberia,2005,GDP real rates of growth (percent),5.30
Liberia,2010,GDP real rates of growth (percent),7.30
Liberia,2015,GDP real rates of growth (percent),9.30
Liberia,2020,GDP real rates of growth (percent),-2.90
Liberia,2021,GDP real rates of growth (percent),5.00
Liberia,2022,GDP real rates of growth (percent),4.80
Libya,1995,GDP in current prices (millions of US dollars),28292.00
Libya,2005,GDP in current prices (millions of US dollars),48853.00
Libya,2010,GDP in current prices (millions of US dollars),75381.00
Libya,2015,GDP in current prices (millions of US dollars),48718.00
Libya,2020,GDP in current prices (millions of US dollars),46842.00
Libya,2021,GDP in current prices (millions of US dollars),39006.00
Libya,2022,GDP in current prices (millions of US dollars),40537.00
Libya,1995,GDP per capita (US dollars),5978.00
Libya,2005,GDP per capita (US dollars),8368.00
Libya,2010,GDP per capita (US dollars),11611.00
Libya,2015,GDP per capita (US dollars),7868.00
Libya,2020,GDP per capita (US dollars),7040.00
Libya,2021,GDP per capita (US dollars),5791.00
Libya,2022,GDP per capita (US dollars),5951.00
Libya,1995,GDP in constant 2015 prices (millions of US dollars),49855.00
Libya,2005,GDP in constant 2015 prices (millions of US dollars),73951.00
Libya,2010,GDP in constant 2015 prices (millions of US dollars),83913.00
Libya,2015,GDP in constant 2015 prices (millions of US dollars),48718.00
Libya,2020,GDP in constant 2015 prices (millions of US dollars),42984.00
Libya,2021,GDP in constant 2015 prices (millions of US dollars),55145.00
Libya,2022,GDP in constant 2015 prices (millions of US dollars),44923.00
Libya,1995,GDP real rates of growth (percent),-2.20
Libya,2005,GDP real rates of growth (percent),12.30
Libya,2010,GDP real rates of growth (percent),5.00
Libya,2015,GDP real rates of growth (percent),-0.80
Libya,2020,GDP real rates of growth (percent),-29.50
Libya,2021,GDP real rates of growth (percent),28.30
Libya,2022,GDP real rates of growth (percent),-18.50
Liechtenstein,1995,GDP in current prices (millions of US dollars),2695.00
Liechtenstein,2005,GDP in current prices (millions of US dollars),4046.00
Liechtenstein,2010,GDP in current prices (millions of US dollars),5621.00
Liechtenstein,2015,GDP in current prices (millions of US dollars),6269.00
Liechtenstein,2020,GDP in current prices (millions of US dollars),6406.00
Liechtenstein,2021,GDP in current prices (millions of US dollars),7710.00
Liechtenstein,2022,GDP in current prices (millions of US dollars),7758.00
Liechtenstein,1995,GDP per capita (US dollars),87253.00
Liechtenstein,2005,GDP per capita (US dollars),116930.00
Liechtenstein,2010,GDP per capita (US dollars),156462.00
Liechtenstein,2015,GDP per capita (US dollars),167809.00
Liechtenstein,2020,GDP per capita (US dollars),165287.00
Liechtenstein,2021,GDP per capita (US dollars),197505.00
Liechtenstein,2022,GDP per capita (US dollars),197268.00
Liechtenstein,1995,GDP in constant 2015 prices (millions of US dollars),3677.00
Liechtenstein,2005,GDP in constant 2015 prices (millions of US dollars),5370.00
Liechtenstein,2010,GDP in constant 2015 prices (millions of US dollars),5980.00
Liechtenstein,2015,GDP in constant 2015 prices (millions of US dollars),6269.00
Liechtenstein,2020,GDP in constant 2015 prices (millions of US dollars),6656.00
Liechtenstein,2021,GDP in constant 2015 prices (millions of US dollars),6695.00
Liechtenstein,2022,GDP in constant 2015 prices (millions of US dollars),6885.00
Liechtenstein,1995,GDP real rates of growth (percent),1.90
Liechtenstein,2005,GDP real rates of growth (percent),4.80
Liechtenstein,2010,GDP real rates of growth (percent),7.40
Liechtenstein,2015,GDP real rates of growth (percent),0.00
Liechtenstein,2020,GDP real rates of growth (percent),-0.70
Liechtenstein,2021,GDP real rates of growth (percent),0.60
Liechtenstein,2022,GDP real rates of growth (percent),2.80
Lithuania,1995,GDP in current prices (millions of US dollars),6699.00
Lithuania,2005,GDP in current prices (millions of US dollars),26113.00
Lithuania,2010,GDP in current prices (millions of US dollars),37138.00
Lithuania,2015,GDP in current prices (millions of US dollars),41419.00
Lithuania,2020,GDP in current prices (millions of US dollars),56965.00
Lithuania,2021,GDP in current prices (millions of US dollars),66799.00
Lithuania,2022,GDP in current prices (millions of US dollars),70878.00
Lithuania,1995,GDP per capita (US dollars),1788.00
Lithuania,2005,GDP per capita (US dollars),7741.00
Lithuania,2010,GDP per capita (US dollars),11831.00
Lithuania,2015,GDP per capita (US dollars),13975.00
Lithuania,2020,GDP per capita (US dollars),20198.00
Lithuania,2021,GDP per capita (US dollars),23971.00
Lithuania,2022,GDP per capita (US dollars),25773.00
Lithuania,1995,GDP in constant 2015 prices (millions of US dollars),17906.00
Lithuania,2005,GDP in constant 2015 prices (millions of US dollars),32436.00
Lithuania,2010,GDP in constant 2015 prices (millions of US dollars),34388.00
Lithuania,2015,GDP in constant 2015 prices (millions of US dollars),41419.00
Lithuania,2020,GDP in constant 2015 prices (millions of US dollars),48186.00
Lithuania,2021,GDP in constant 2015 prices (millions of US dollars),51214.00
Lithuania,2022,GDP in constant 2015 prices (millions of US dollars),52464.00
Lithuania,1995,GDP real rates of growth (percent),3.30
Lithuania,2005,GDP real rates of growth (percent),7.70
Lithuania,2010,GDP real rates of growth (percent),1.70
Lithuania,2015,GDP real rates of growth (percent),2.00
Lithuania,2020,GDP real rates of growth (percent),0.00
Lithuania,2021,GDP real rates of growth (percent),6.30
Lithuania,2022,GDP real rates of growth (percent),2.40
Luxembourg,1995,GDP in current prices (millions of US dollars),20853.00
Luxembourg,2005,GDP in current prices (millions of US dollars),37657.00
Luxembourg,2010,GDP in current prices (millions of US dollars),56159.00
Luxembourg,2015,GDP in current prices (millions of US dollars),60047.00
Luxembourg,2020,GDP in current prices (millions of US dollars),73699.00
Luxembourg,2021,GDP in current prices (millions of US dollars),85584.00
Luxembourg,2022,GDP in current prices (millions of US dollars),81531.00
Luxembourg,1995,GDP per capita (US dollars),51157.00
Luxembourg,2005,GDP per capita (US dollars),81008.00
Luxembourg,2010,GDP per capita (US dollars),110752.00
Luxembourg,2015,GDP per capita (US dollars),105456.00
Luxembourg,2020,GDP per capita (US dollars),116909.00
Luxembourg,2021,GDP per capita (US dollars),133867.00
Luxembourg,2022,GDP per capita (US dollars),125897.00
Luxembourg,1995,GDP in constant 2015 prices (millions of US dollars),30592.00
Luxembourg,2005,GDP in constant 2015 prices (millions of US dollars),47065.00
Luxembourg,2010,GDP in constant 2015 prices (millions of US dollars),53991.00
Luxembourg,2015,GDP in constant 2015 prices (millions of US dollars),60047.00
Luxembourg,2020,GDP in constant 2015 prices (millions of US dollars),65925.00
Luxembourg,2021,GDP in constant 2015 prices (millions of US dollars),70651.00
Luxembourg,2022,GDP in constant 2015 prices (millions of US dollars),71626.00
Luxembourg,1995,GDP real rates of growth (percent),1.40
Luxembourg,2005,GDP real rates of growth (percent),2.50
Luxembourg,2010,GDP real rates of growth (percent),3.80
Luxembourg,2015,GDP real rates of growth (percent),2.30
Luxembourg,2020,GDP real rates of growth (percent),-0.90
Luxembourg,2021,GDP real rates of growth (percent),7.20
Luxembourg,2022,GDP real rates of growth (percent),1.40
Madagascar,1995,GDP in current prices (millions of US dollars),3668.00
Madagascar,2005,GDP in current prices (millions of US dollars),5849.00
Madagascar,2010,GDP in current prices (millions of US dollars),9983.00
Madagascar,2015,GDP in current prices (millions of US dollars),11323.00
Madagascar,2020,GDP in current prices (millions of US dollars),13056.00
Madagascar,2021,GDP in current prices (millions of US dollars),14555.00
Madagascar,2022,GDP in current prices (millions of US dollars),14955.00
Madagascar,1995,GDP per capita (US dollars),264.00
Madagascar,2005,GDP per capita (US dollars),311.00
Madagascar,2010,GDP per capita (US dollars),459.00
Madagascar,2015,GDP per capita (US dollars),456.00
Madagascar,2020,GDP per capita (US dollars),463.00
Madagascar,2021,GDP per capita (US dollars),503.00
Madagascar,2022,GDP per capita (US dollars),505.00
Madagascar,1995,GDP in constant 2015 prices (millions of US dollars),6387.00
Madagascar,2005,GDP in constant 2015 prices (millions of US dollars),8628.00
Madagascar,2010,GDP in constant 2015 prices (millions of US dollars),9925.00
Madagascar,2015,GDP in constant 2015 prices (millions of US dollars),11323.00
Madagascar,2020,GDP in constant 2015 prices (millions of US dollars),12245.00
Madagascar,2021,GDP in constant 2015 prices (millions of US dollars),12948.00
Madagascar,2022,GDP in constant 2015 prices (millions of US dollars),13440.00
Madagascar,1995,GDP real rates of growth (percent),1.70
Madagascar,2005,GDP real rates of growth (percent),4.60
Madagascar,2010,GDP real rates of growth (percent),0.60
Madagascar,2015,GDP real rates of growth (percent),3.10
Madagascar,2020,GDP real rates of growth (percent),-7.10
Madagascar,2021,GDP real rates of growth (percent),5.70
Madagascar,2022,GDP real rates of growth (percent),3.80
Malawi,1995,GDP in current prices (millions of US dollars),2474.00
Malawi,2005,GDP in current prices (millions of US dollars),3656.00
Malawi,2010,GDP in current prices (millions of US dollars),6960.00
Malawi,2015,GDP in current prices (millions of US dollars),8216.00
Malawi,2020,GDP in current prices (millions of US dollars),11769.00
Malawi,2021,GDP in current prices (millions of US dollars),12505.00
Malawi,2022,GDP in current prices (millions of US dollars),12559.00
Malawi,1995,GDP per capita (US dollars),245.00
Malawi,2005,GDP per capita (US dollars),287.00
Malawi,2010,GDP per capita (US dollars),473.00
Malawi,2015,GDP per capita (US dollars),485.00
Malawi,2020,GDP per capita (US dollars),607.00
Malawi,2021,GDP per capita (US dollars),629.00
Malawi,2022,GDP per capita (US dollars),615.00
Malawi,1995,GDP in constant 2015 prices (millions of US dollars),2779.00
Malawi,2005,GDP in constant 2015 prices (millions of US dollars),3702.00
Malawi,2010,GDP in constant 2015 prices (millions of US dollars),5294.00
Malawi,2015,GDP in constant 2015 prices (millions of US dollars),8216.00
Malawi,2020,GDP in constant 2015 prices (millions of US dollars),10886.00
Malawi,2021,GDP in constant 2015 prices (millions of US dollars),11382.00
Malawi,2022,GDP in constant 2015 prices (millions of US dollars),11487.00
Malawi,1995,GDP real rates of growth (percent),9.00
Malawi,2005,GDP real rates of growth (percent),3.30
Malawi,2010,GDP real rates of growth (percent),6.90
Malawi,2015,GDP real rates of growth (percent),8.50
Malawi,2020,GDP real rates of growth (percent),0.80
Malawi,2021,GDP real rates of growth (percent),4.60
Malawi,2022,GDP real rates of growth (percent),0.90
Malaysia,1995,GDP in current prices (millions of US dollars),88833.00
Malaysia,2005,GDP in current prices (millions of US dollars),143534.00
Malaysia,2010,GDP in current prices (millions of US dollars),255018.00
Malaysia,2015,GDP in current prices (millions of US dollars),301355.00
Malaysia,2020,GDP in current prices (millions of US dollars),337339.00
Malaysia,2021,GDP in current prices (millions of US dollars),372981.00
Malaysia,2022,GDP in current prices (millions of US dollars),406306.00
Malaysia,1995,GDP per capita (US dollars),4411.00
Malaysia,2005,GDP per capita (US dollars),5537.00
Malaysia,2010,GDP per capita (US dollars),8880.00
Malaysia,2015,GDP per capita (US dollars),9700.00
Malaysia,2020,GDP per capita (US dollars),10161.00
Malaysia,2021,GDP per capita (US dollars),11109.00
Malaysia,2022,GDP per capita (US dollars),11972.00
Malaysia,1995,GDP in constant 2015 prices (millions of US dollars),117335.00
Malaysia,2005,GDP in constant 2015 prices (millions of US dollars),186898.00
Malaysia,2010,GDP in constant 2015 prices (millions of US dollars),232654.00
Malaysia,2015,GDP in constant 2015 prices (millions of US dollars),301355.00
Malaysia,2020,GDP in constant 2015 prices (millions of US dollars),344423.00
Malaysia,2021,GDP in constant 2015 prices (millions of US dollars),355073.00
Malaysia,2022,GDP in constant 2015 prices (millions of US dollars),385944.00
Malaysia,1995,GDP real rates of growth (percent),9.80
Malaysia,2005,GDP real rates of growth (percent),5.30
Malaysia,2010,GDP real rates of growth (percent),7.40
Malaysia,2015,GDP real rates of growth (percent),5.10
Malaysia,2020,GDP real rates of growth (percent),-5.50
Malaysia,2021,GDP real rates of growth (percent),3.10
Malaysia,2022,GDP real rates of growth (percent),8.70
Maldives,1995,GDP in current prices (millions of US dollars),566.00
Maldives,2005,GDP in current prices (millions of US dollars),1163.00
Maldives,2010,GDP in current prices (millions of US dollars),2588.00
Maldives,2015,GDP in current prices (millions of US dollars),4130.00
Maldives,2020,GDP in current prices (millions of US dollars),3713.00
Maldives,2021,GDP in current prices (millions of US dollars),5254.00
Maldives,2022,GDP in current prices (millions of US dollars),6171.00
Maldives,1995,GDP per capita (US dollars),2193.00
Maldives,2005,GDP per capita (US dollars),3789.00
Maldives,2010,GDP per capita (US dollars),7158.00
Maldives,2015,GDP per capita (US dollars),9480.00
Maldives,2020,GDP per capita (US dollars),7217.00
Maldives,2021,GDP per capita (US dollars),10076.00
Maldives,2022,GDP per capita (US dollars),11781.00
Maldives,1995,GDP in constant 2015 prices (millions of US dollars),1435.00
Maldives,2005,GDP in constant 2015 prices (millions of US dollars),2189.00
Maldives,2010,GDP in constant 2015 prices (millions of US dollars),3099.00
Maldives,2015,GDP in constant 2015 prices (millions of US dollars),4130.00
Maldives,2020,GDP in constant 2015 prices (millions of US dollars),3686.00
Maldives,2021,GDP in constant 2015 prices (millions of US dollars),5075.00
Maldives,2022,GDP in constant 2015 prices (millions of US dollars),5780.00
Maldives,1995,GDP real rates of growth (percent),7.10
Maldives,2005,GDP real rates of growth (percent),-11.20
Maldives,2010,GDP real rates of growth (percent),6.80
Maldives,2015,GDP real rates of growth (percent),4.00
Maldives,2020,GDP real rates of growth (percent),-32.90
Maldives,2021,GDP real rates of growth (percent),37.70
Maldives,2022,GDP real rates of growth (percent),13.90
Mali,1995,GDP in current prices (millions of US dollars),2837.00
Mali,2005,GDP in current prices (millions of US dollars),6245.00
Mali,2010,GDP in current prices (millions of US dollars),10679.00
Mali,2015,GDP in current prices (millions of US dollars),13095.00
Mali,2020,GDP in current prices (millions of US dollars),17465.00
Mali,2021,GDP in current prices (millions of US dollars),19309.00
Mali,2022,GDP in current prices (millions of US dollars),18827.00
Mali,1995,GDP per capita (US dollars),286.00
Mali,2005,GDP per capita (US dollars),474.00
Mali,2010,GDP per capita (US dollars),688.00
Mali,2015,GDP per capita (US dollars),723.00
Mali,2020,GDP per capita (US dollars),823.00
Mali,2021,GDP per capita (US dollars),882.00
Mali,2022,GDP per capita (US dollars),833.00
Mali,1995,GDP in constant 2015 prices (millions of US dollars),2175.00
Mali,2005,GDP in constant 2015 prices (millions of US dollars),5328.00
Mali,2010,GDP in constant 2015 prices (millions of US dollars),8812.00
Mali,2015,GDP in constant 2015 prices (millions of US dollars),13095.00
Mali,2020,GDP in constant 2015 prices (millions of US dollars),17388.00
Mali,2021,GDP in constant 2015 prices (millions of US dollars),18014.00
Mali,2022,GDP in constant 2015 prices (millions of US dollars),19314.00
Mali,1995,GDP real rates of growth (percent),37.20
Mali,2005,GDP real rates of growth (percent),10.40
Mali,2010,GDP real rates of growth (percent),10.90
Mali,2015,GDP real rates of growth (percent),7.50
Mali,2020,GDP real rates of growth (percent),0.70
Mali,2021,GDP real rates of growth (percent),3.60
Mali,2022,GDP real rates of growth (percent),7.20
Malta,1995,GDP in current prices (millions of US dollars),3720.00
Malta,2005,GDP in current prices (millions of US dollars),6406.00
Malta,2010,GDP in current prices (millions of US dollars),9027.00
Malta,2015,GDP in current prices (millions of US dollars),11087.00
Malta,2020,GDP in current prices (millions of US dollars),15253.00
Malta,2021,GDP in current prices (millions of US dollars),18087.00
Malta,2022,GDP in current prices (millions of US dollars),18101.00
Malta,1995,GDP per capita (US dollars),9743.00
Malta,2005,GDP per capita (US dollars),15615.00
Malta,2010,GDP per capita (US dollars),21557.00
Malta,2015,GDP per capita (US dollars),24283.00
Malta,2020,GDP per capita (US dollars),29596.00
Malta,2021,GDP per capita (US dollars),34337.00
Malta,2022,GDP per capita (US dollars),33942.00
